time, amplitude, 
26.123,0.78132, 
26.147,0.85486, 
26.172,0.9284, 
26.196,0.85854, 
26.221,0.72249, 
26.245,0.56255, 
26.27,0.43386, 
26.294,0.28128, 
26.318,0.03309, 
26.343,-0.01838, 
26.367,0.05883, 
26.392,0.1673, 
26.416,0.32356, 
26.44,0.34378, 
26.465,0.15994, 
26.489,0.04044, 
26.514,-0.14891, 
26.538,-0.29782, 
26.563,-0.44489, 
26.587,-0.51292, 
26.611,-0.50005, 
26.636,-0.59381, 
26.66,-0.67837, 
26.685,-0.84934, 
26.709,-0.8089, 
26.733,-0.63241, 
26.758,-0.52578, 
26.782,-0.2537, 
26.807,-0.08273, 
26.831,-0.01287, 
26.855,0.10479, 
26.88,0.18568, 
26.904,0.18936, 
26.929,0.11766, 
26.953,0.16546, 
26.978,0.24635, 
27.002,0.23715, 
27.026,0.18568, 
27.051,-0.02574, 
27.075,-0.11214, 
27.1,-0.08824, 
27.124,-0.18016, 
27.148,-0.13972, 
27.173,-0.11582, 
27.197,-0.00919, 
27.222,-0.04044, 
27.246,-0.12869, 
27.271,-0.30701, 
27.295,-0.5552, 
27.319,-0.77397, 
27.344,-0.72985, 
27.368,-0.68756, 
27.393,-0.63425, 
27.417,-0.54601, 
27.441,-0.55704, 
27.466,-0.49821, 
27.49,-0.51843, 
27.515,-0.54601, 
27.539,-0.47063, 
27.563,-0.23715, 
27.588,0.09192, 
27.612,0.21693, 
27.637,0.40813, 
27.661,0.40077, 
27.686,0.45593, 
27.71,0.49637, 
27.734,0.45041, 
27.759,0.46144, 
27.783,0.46879, 
27.808,0.56255, 
27.832,0.66918, 
27.856,0.73169, 
27.881,0.73904, 
27.905,0.61035, 
27.93,0.60851, 
27.954,0.5791, 
27.979,0.55888, 
28.003,0.66734, 
28.027,0.81074, 
28.052,0.87692, 
28.076,0.72985, 
28.101,0.51108, 
28.125,0.18384, 
28.149,-0.31988, 
28.174,-0.64712, 
28.198,-0.62138, 
28.223,-0.53314, 
28.247,-0.31437, 
28.271,-0.22612, 
28.296,-0.17097, 
28.32,-0.15626, 
28.345,-0.2298, 
28.369,-0.38239, 
28.394,-0.40997, 
28.418,-0.19671, 
28.442,0.04964, 
28.467,0.16362, 
28.491,0.3971, 
28.516,0.56807, 
28.54,0.63609, 
28.564,0.60667, 
28.589,0.40813, 
28.613,0.26289, 
28.638,0.1195, 
28.662,0.13053, 
28.687,0.26657, 
